Time,Weather,Traffic,Day,Delay
Evening,Rain,Low,Weekend,Yes
Morning,Clear,High,Weekday,Yes
Morning,Rain,High,Weekday,Yes
Evening,Rain,Low,Weekday,Yes
Evening,Clear,Medium,Weekend,No
Evening,Clear,High,Weekday,Yes
Afternoon,Clear,High,Weekend,No
Night,Clear,Low,Weekday,No
Evening,Rain,Low,Weekend,No
Evening,Rain,Medium,Weekday,Yes
Night,Rain,Low,Weekend,No
Morning,Rain,Low,Weekday,Yes
Night,Clear,High,Weekend,No
Afternoon,Clear,Medium,Weekday,No
Afternoon,Rain,Low,Weekend,Yes
Night,Rain,Medium,Weekend,Yes
Afternoon,Rain,Low,Weekday,No
Evening,Clear,Medium,Weekday,No
Evening,Clear,Medium,Weekday,No
Afternoon,Clear,Medium,Weekday,No
Evening,Clear,High,Weekday,Yes
Evening,Rain,Medium,Weekday,Yes
Afternoon,Clear,Low,Weekend,No
Evening,Clear,High,Weekday,Yes
Evening,Rain,High,Weekday,Yes
Night,Clear,Low,Weekday,No
Evening,Clear,High,Weekend,No
Night,Clear,High,Weekday,Yes
Evening,Rain,Medium,Weekend,Yes
Morning,Clear,High,Weekend,Yes
Night,Clear,Medium,Weekday,No
Afternoon,Rain,High,Weekday,Yes
Afternoon,Clear,High,Weekend,No
Evening,Rain,Medium,Weekend,Yes
Night,Rain,Low,Weekday,Yes
Morning,Clear,Low,Weekday,No
Afternoon,Rain,Medium,Weekday,Yes
Morning,Rain,Low,Weekday,Yes
Night,Rain,High,Weekday,Yes
Afternoon,Clear,Low,Weekday,No
Afternoon,Rain,High,Weekday,Yes
Evening,Clear,Medium,Weekday,No
Morning,Clear,Medium,Weekday,No
Afternoon,Rain,Medium,Weekday,Yes
Afternoon,Rain,Medium,Weekday,Yes
Morning,Rain,Low,Weekday,Yes
Evening,Rain,Low,Weekend,Yes
Night,Rain,Medium,Weekday,Yes
Afternoon,Clear,High,Weekday,No
Evening,Clear,Low,Weekend,No
Evening,Clear,High,Weekend,No
Afternoon,Rain,High,Weekday,Yes
Afternoon,Rain,High,Weekday,Yes
Afternoon,Clear,Medium,Weekday,No
Afternoon,Clear,High,Weekday,No
Evening,Clear,Medium,Weekday,Yes
Evening,Clear,Low,Weekday,No
Night,Clear,Medium,Weekday,No
Night,Rain,Medium,Weekday,Yes
Morning,Clear,Medium,Weekday,Yes
Afternoon,Rain,Medium,Weekend,Yes
Night,Clear,Low,Weekend,No
Afternoon,Clear,Low,Weekend,No
Afternoon,Clear,Low,Weekend,No
Afternoon,Rain,High,Weekend,Yes
Afternoon,Rain,High,Weekday,Yes
Afternoon,Rain,Low,Weekend,No
Night,Rain,High,Weekend,Yes
Afternoon,Clear,Medium,Weekday,No
Morning,Clear,Medium,Weekend,No
Evening,Rain,Low,Weekday,Yes
Morning,Rain,Medium,Weekend,Yes
Morning,Clear,High,Weekday,Yes
Afternoon,Clear,Low,Weekend,No
Morning,Rain,High,Weekend,Yes
Morning,Clear,Medium,Weekday,No
Night,Clear,Medium,Weekend,No
Afternoon,Rain,Medium,Weekday,Yes
Evening,Rain,Medium,Weekday,Yes
Morning,Clear,Low,Weekend,No
Night,Clear,Medium,Weekend,No
Afternoon,Rain,High,Weekday,Yes
Evening,Clear,Low,Weekday,No
Morning,Rain,Medium,Weekend,Yes
Afternoon,Clear,Medium,Weekday,No
Evening,Clear,Medium,Weekday,No
Morning,Clear,Low,Weekend,No
Morning,Clear,High,Weekend,Yes
Evening,Clear,High,Weekday,Yes
Afternoon,Clear,Low,Weekday,No
Afternoon,Clear,Medium,Weekend,No
Evening,Rain,Low,Weekend,Yes
Evening,Clear,High,Weekend,No
Night,Clear,Medium,Weekday,No
Evening,Clear,High,Weekday,Yes
Afternoon,Clear,High,Weekend,No
Afternoon,Clear,Medium,Weekday,No
Afternoon,Clear,Low,Weekend,No
Evening,Rain,Low,Weekend,No
Afternoon,Rain,High,Weekday,Yes
Night,Rain,Medium,Weekday,Yes
Morning,Rain,Low,Weekend,No
Morning,Clear,Medium,Weekend,Yes
Morning,Rain,Medium,Weekday,Yes
Night,Rain,High,Weekday,Yes
Afternoon,Clear,Medium,Weekday,No
Afternoon,Rain,Low,Weekend,No
Night,Rain,Medium,Weekday,Yes
Afternoon,Clear,High,Weekday,Yes
Evening,Rain,Medium,Weekend,Yes
Evening,Rain,Low,Weekday,Yes
Afternoon,Rain,Medium,Weekend,Yes
Evening,Clear,Medium,Weekday,No
Night,Clear,Medium,Weekend,No
Night,Clear,Low,Weekday,No
Night,Clear,High,Weekday,No
Afternoon,Clear,Medium,Weekday,No
Night,Clear,Low,Weekday,No
Evening,Rain,Low,Weekend,Yes
Night,Clear,High,Weekday,No
Evening,Rain,High,Weekend,Yes
Evening,Clear,Low,Weekend,No
Afternoon,Clear,High,Weekend,No
Afternoon,Rain,High,Weekday,Yes
Morning,Rain,Low,Weekend,Yes
Afternoon,Clear,Medium,Weekend,No
Evening,Rain,Low,Weekend,Yes
Morning,Clear,Low,Weekend,No
Afternoon,Rain,Medium,Weekday,Yes
Evening,Rain,High,Weekday,Yes
Afternoon,Clear,High,Weekend,No
Evening,Clear,Low,Weekday,No
Evening,Clear,Low,Weekday,No
Afternoon,Clear,Medium,Weekday,No
Morning,Rain,High,Weekday,Yes
Night,Rain,Medium,Weekend,Yes
Night,Rain,Low,Weekday,No
Night,Rain,High,Weekend,Yes
Morning,Rain,Low,Weekend,Yes
Night,Rain,High,Weekday,Yes
Evening,Rain,Low,Weekday,Yes
Evening,Rain,Low,Weekday,Yes
Morning,Rain,Low,Weekend,Yes
Morning,Clear,High,Weekend,Yes
Afternoon,Rain,High,Weekday,Yes
Morning,Rain,High,Weekday,Yes
Night,Clear,Low,Weekday,No
Afternoon,Rain,Low,Weekday,No
Morning,Rain,Low,Weekday,Yes
Evening,Rain,High,Weekday,Yes
Night,Rain,Medium,Weekend,Yes
Afternoon,Clear,High,Weekend,Yes
Afternoon,Clear,Low,Weekend,No
Afternoon,Clear,Low,Weekend,No
Night,Rain,Low,Weekend,No
Night,Clear,Low,Weekday,No
Evening,Clear,Low,Weekday,No
Morning,Clear,Low,Weekend,No
Night,Rain,Low,Weekday,No
Morning,Rain,Medium,Weekend,Yes
Evening,Clear,Medium,Weekday,No
Evening,Rain,High,Weekday,Yes
Night,Rain,High,Weekday,Yes
Morning,Clear,Medium,Weekend,No
Morning,Clear,High,Weekend,No
Morning,Rain,High,Weekday,Yes
Evening,Clear,Medium,Weekday,No
Afternoon,Rain,Low,Weekday,Yes
Night,Clear,Medium,Weekend,No
Night,Rain,Low,Weekday,No
Morning,Rain,High,Weekend,Yes
Evening,Rain,High,Weekday,Yes
Afternoon,Clear,Medium,Weekend,No
Morning,Clear,Low,Weekday,No
Afternoon,Rain,Low,Weekday,No
Morning,Clear,Medium,Weekday,Yes
Evening,Clear,Medium,Weekend,No
Morning,Clear,Medium,Weekend,No
Morning,Rain,Medium,Weekday,Yes
Afternoon,Clear,High,Weekend,No
Morning,Rain,High,Weekday,Yes
Evening,Rain,High,Weekend,Yes
Morning,Clear,High,Weekend,Yes
Evening,Clear,Medium,Weekday,No
Evening,Clear,Low,Weekday,No
Evening,Clear,Low,Weekend,No
Night,Rain,Low,Weekend,Yes
Afternoon,Rain,Low,Weekend,No
Evening,Rain,Low,Weekday,Yes
Night,Clear,Low,Weekend,No
Evening,Rain,Medium,Weekend,Yes
Afternoon,Rain,Medium,Weekend,Yes
Night,Clear,High,Weekend,Yes
Morning,Rain,Low,Weekend,No
Morning,Rain,Low,Weekend,Yes
Afternoon,Rain,Low,Weekday,No
Morning,Rain,Medium,Weekend,Yes
Morning,Clear,Low,Weekday,No
Morning,Rain,High,Weekday,Yes
Afternoon,Rain,Low,Weekend,Yes
Night,Clear,Low,Weekday,No
Evening,Clear,Low,Weekday,No
Morning,Clear,High,Weekday,Yes
Afternoon,Rain,Low,Weekday,No
Evening,Clear,Medium,Weekday,No
Afternoon,Rain,Medium,Weekday,Yes
Evening,Rain,High,Weekend,Yes
Afternoon,Clear,Low,Weekday,No
Afternoon,Rain,High,Weekend,Yes
Evening,Clear,Medium,Weekday,No
Afternoon,Clear,High,Weekday,Yes
Night,Clear,High,Weekend,No
Evening,Rain,Medium,Weekend,Yes
Evening,Rain,Medium,Weekend,Yes
Afternoon,Clear,Low,Weekday,No
Night,Clear,High,Weekday,Yes
Afternoon,Clear,Low,Weekday,No
Morning,Clear,Low,Weekend,No
Evening,Rain,Medium,Weekend,Yes
Night,Clear,Medium,Weekend,No
Night,Rain,Medium,Weekday,Yes
Afternoon,Clear,High,Weekend,Yes
Evening,Clear,Medium,Weekday,No
Morning,Clear,Low,Weekend,No
Morning,Clear,Low,Weekday,No
Afternoon,Clear,High,Weekend,No
Afternoon,Rain,Medium,Weekday,Yes
Night,Clear,Low,Weekday,No
Afternoon,Rain,Medium,Weekend,Yes
Evening,Rain,Low,Weekday,Yes
Afternoon,Clear,High,Weekday,Yes
Night,Rain,Medium,Weekday,Yes
Afternoon,Rain,High,Weekday,Yes
Afternoon,Clear,Medium,Weekday,No
Evening,Clear,Medium,Weekday,Yes
Evening,Clear,High,Weekday,Yes
Afternoon,Rain,Low,Weekend,No
Night,Rain,Low,Weekday,Yes
Afternoon,Rain,High,Weekday,Yes
Afternoon,Clear,Low,Weekday,No
Afternoon,Clear,Medium,Weekend,No
Morning,Rain,Medium,Weekend,Yes
Evening,Rain,Low,Weekend,Yes
Evening,Clear,Medium,Weekday,No
Night,Rain,High,Weekend,Yes
Night,Clear,Low,Weekday,No
Evening,Rain,High,Weekend,Yes
Evening,Rain,High,Weekday,Yes
Afternoon,Clear,High,Weekend,No
Afternoon,Clear,Low,Weekday,No
Afternoon,Clear,Medium,Weekday,No
Night,Rain,High,Weekend,Yes
Morning,Clear,Low,Weekend,No
Afternoon,Clear,High,Weekend,No
Evening,Clear,Low,Weekend,No
Evening,Rain,Medium,Weekday,Yes
Evening,Rain,High,Weekend,Yes
Night,Clear,High,Weekday,Yes
Night,Clear,Low,Weekend,No
Afternoon,Clear,Medium,Weekday,No
Afternoon,Clear,High,Weekday,Yes
Night,Rain,Medium,Weekend,Yes
Evening,Rain,Medium,Weekend,Yes
Evening,Rain,High,Weekday,Yes
Morning,Rain,Medium,Weekend,Yes
Afternoon,Clear,Low,Weekend,No
Evening,Clear,High,Weekend,Yes
Morning,Clear,Medium,Weekend,No
Evening,Clear,Low,Weekday,No
Afternoon,Clear,Medium,Weekend,No
Evening,Rain,Low,Weekend,Yes
Morning,Rain,Low,Weekday,Yes
Morning,Clear,Medium,Weekday,No
Morning,Clear,High,Weekday,Yes
Morning,Clear,Medium,Weekend,No
Evening,Clear,Medium,Weekday,Yes
Evening,Rain,Medium,Weekday,Yes
Night,Clear,High,Weekday,Yes
Afternoon,Clear,High,Weekday,No
Evening,Clear,Low,Weekend,No
Morning,Rain,Low,Weekday,Yes
Afternoon,Clear,Low,Weekend,No
Morning,Rain,Medium,Weekend,Yes
Afternoon,Rain,Medium,Weekend,No
Night,Clear,High,Weekend,No
Afternoon,Rain,High,Weekend,Yes
Morning,Clear,High,Weekend,Yes
Morning,Rain,High,Weekend,Yes
Afternoon,Clear,High,Weekend,No
Night,Clear,Medium,Weekday,No
Evening,Clear,High,Weekday,Yes
Evening,Rain,Low,Weekday,Yes
Night,Clear,Low,Weekday,No
Evening,Clear,Medium,Weekday,Yes
Night,Rain,Low,Weekday,Yes
Morning,Clear,Medium,Weekend,Yes
Afternoon,Rain,Medium,Weekday,Yes
Night,Clear,Low,Weekday,No
Evening,Rain,Medium,Weekend,Yes
Morning,Clear,Medium,Weekend,No
Evening,Rain,Medium,Weekend,Yes
Afternoon,Rain,Medium,Weekday,Yes
Morning,Clear,Medium,Weekend,No
Night,Clear,Low,Weekday,No
Morning,Rain,Medium,Weekend,Yes
Afternoon,Rain,Low,Weekday,No
Morning,Clear,Low,Weekday,No
Afternoon,Rain,High,Weekday,Yes
Morning,Clear,Low,Weekend,No
Evening,Rain,Medium,Weekday,Yes
Morning,Clear,High,Weekend,No
Evening,Clear,Medium,Weekday,Yes
Afternoon,Rain,Low,Weekday,No
Evening,Rain,High,Weekday,Yes
Evening,Rain,Low,Weekday,Yes
Evening,Rain,Medium,Weekend,Yes
Afternoon,Clear,Medium,Weekday,No
Morning,Clear,High,Weekday,Yes
Evening,Clear,Low,Weekday,No
Morning,Rain,High,Weekend,Yes
Night,Rain,High,Weekday,Yes
Afternoon,Clear,Low,Weekday,No
Evening,Clear,Low,Weekend,No
Night,Clear,High,Weekend,No
Evening,Clear,Medium,Weekend,No
Morning,Clear,High,Weekend,Yes
Morning,Rain,Medium,Weekday,Yes
Afternoon,Clear,Medium,Weekday,No
Evening,Clear,Medium,Weekend,No
Evening,Clear,Low,Weekend,No
Morning,Clear,Medium,Weekend,No
Night,Rain,High,Weekday,Yes
Morning,Rain,Medium,Weekend,Yes
Night,Clear,High,Weekday,Yes
Morning,Rain,High,Weekend,Yes
Evening,Clear,High,Weekday,Yes
Morning,Clear,High,Weekend,Yes
Morning,Clear,Medium,Weekend,No
Morning,Rain,Low,Weekday,Yes
Morning,Clear,Low,Weekend,No
Evening,Rain,Low,Weekday,Yes
Evening,Clear,Medium,Weekday,Yes
Night,Rain,High,Weekend,Yes
Night,Rain,High,Weekday,Yes
Afternoon,Clear,Medium,Weekday,No
Morning,Rain,Low,Weekend,No
Night,Rain,Low,Weekday,No
Afternoon,Rain,High,Weekend,Yes
Night,Clear,Low,Weekend,No
Morning,Rain,Low,Weekend,No
Afternoon,Clear,High,Weekday,No
Evening,Rain,Low,Weekday,Yes
Night,Rain,High,Weekend,Yes
Night,Rain,Medium,Weekday,Yes
Morning,Clear,Low,Weekday,No
Evening,Clear,Medium,Weekend,No
Afternoon,Rain,Low,Weekday,Yes
Morning,Clear,High,Weekend,No
Afternoon,Clear,Low,Weekday,No
Evening,Clear,Low,Weekend,No
Evening,Clear,Medium,Weekend,No
Morning,Clear,Low,Weekend,No
Morning,Rain,Low,Weekday,Yes
Evening,Rain,High,Weekday,Yes
Night,Rain,Low,Weekday,Yes
Afternoon,Rain,Low,Weekday,Yes
Evening,Clear,Low,Weekend,No
Afternoon,Rain,Low,Weekend,No
Afternoon,Rain,Low,Weekday,No
Morning,Clear,Medium,Weekend,No
Evening,Clear,High,Weekday,Yes
Morning,Rain,Low,Weekend,No
Afternoon,Clear,Low,Weekend,No
Night,Clear,Medium,Weekday,No
Morning,Clear,Medium,Weekday,No
Evening,Clear,High,Weekend,No
Morning,Clear,Low,Weekend,No
Afternoon,Clear,Medium,Weekend,No
Night,Clear,High,Weekend,No
Morning,Clear,Low,Weekday,No
Evening,Clear,Low,Weekend,No
Night,Rain,High,Weekday,Yes
Evening,Rain,Low,Weekday,Yes
Night,Clear,High,Weekend,Yes
Night,Rain,High,Weekday,Yes
Night,Clear,Medium,Weekend,No
Night,Rain,High,Weekday,Yes
Afternoon,Clear,Medium,Weekend,No
Evening,Clear,High,Weekend,No
Night,Rain,Medium,Weekday,Yes
Evening,Clear,Low,Weekday,No
Night,Rain,Medium,Weekend,Yes
Night,Clear,High,Weekday,Yes
Afternoon,Rain,Low,Weekend,Yes
Night,Rain,High,Weekend,Yes
Night,Rain,Medium,Weekend,Yes
Evening,Clear,Medium,Weekend,No
Morning,Rain,Low,Weekend,No
Night,Clear,Low,Weekday,No
Afternoon,Clear,Medium,Weekday,No
Morning,Rain,Low,Weekend,Yes
Night,Clear,High,Weekday,No
Evening,Clear,Low,Weekday,No
Morning,Rain,Low,Weekend,No
Evening,Rain,Low,Weekday,Yes
Morning,Clear,Medium,Weekend,No
Morning,Clear,High,Weekday,Yes
Evening,Rain,Medium,Weekend,Yes
Evening,Clear,Low,Weekend,No
Morning,Clear,High,Weekend,Yes
Night,Rain,Low,Weekday,Yes
Night,Clear,Medium,Weekend,No
Night,Clear,Medium,Weekend,No
Afternoon,Rain,Low,Weekend,No
Afternoon,Rain,Low,Weekday,No
Morning,Clear,Low,Weekend,No
Afternoon,Rain,Low,Weekday,No
Night,Clear,High,Weekday,No
Night,Clear,High,Weekend,No
Evening,Rain,Medium,Weekday,Yes
Afternoon,Clear,High,Weekend,No
Morning,Clear,Low,Weekend,No
Night,Clear,Medium,Weekend,No
Afternoon,Clear,Low,Weekday,No
Morning,Clear,Medium,Weekday,No
Afternoon,Rain,Low,Weekend,No
Afternoon,Rain,Low,Weekend,Yes
Afternoon,Rain,Medium,Weekend,Yes
Evening,Clear,Medium,Weekday,No
Evening,Clear,Medium,Weekday,Yes
Morning,Clear,Low,Weekend,No
Night,Clear,Medium,Weekend,No
Evening,Rain,Medium,Weekday,Yes
Afternoon,Rain,High,Weekday,Yes
Evening,Rain,Low,Weekend,No
Evening,Rain,Low,Weekend,Yes
